Episode,TotalReward,PolicyLoss,ValueLoss
1,-32226.389639386907,-0.005014967638999224,0.731050431728363
2,-32234.18032443151,0.042922087013721466,0.7100270390510559
3,-32266.596044962294,0.008003701455891132,0.700616180896759
4,-32286.807930628303,-0.042670879513025284,0.6944473385810852
5,-32308.95378287323,-0.06707659363746643,0.6914396286010742
6,-32319.012182375416,-0.07063417136669159,0.6869176030158997
7,-32366.05779718794,-0.04838338494300842,0.6845555305480957
8,-32351.05810673535,-0.019184891134500504,0.6808554530143738
9,-32360.262666584924,0.00866694189608097,0.678189218044281
10,-32320.612705556676,0.02792833186686039,0.677221953868866
11,-32368.784961536527,0.02535027451813221,0.675206184387207
12,-32370.147258671932,0.029412485659122467,0.6736194491386414
13,-32343.062666095793,0.010685198940336704,0.6718683838844299
14,-32362.955468056723,0.0009135081782005727,0.6710837483406067
15,-32365.89710850129,-0.00783777330070734,0.6690575480461121
16,-32345.928334925324,-0.014777605421841145,0.66742342710495
17,-32365.0286958497,-0.007723397109657526,0.6666218042373657
18,-32378.546834014356,-0.003149494994431734,0.664992094039917
19,-32346.54046558356,-0.004335265606641769,0.6648179292678833
20,-32340.229223694652,-0.0055521451868116856,0.6626008749008179
21,-32369.213006726466,-0.00565756019204855,0.6623452305793762
22,-32368.3249219805,-0.012856795452535152,0.660502552986145
23,-32361.57026729919,-0.013839206658303738,0.6597294211387634
24,-32388.674072125927,-0.011211364530026913,0.6583739519119263
25,-32412.851786502637,-0.01068311557173729,0.6573270559310913
26,-32401.014240888413,0.010616444051265717,0.6558405160903931
27,-32425.716699734796,0.010418198071420193,0.6545467376708984
28,-32429.872692136094,0.015972085297107697,0.654215395450592
29,-32396.01650387235,0.007680046372115612,0.6514090895652771
30,-32400.71514462121,0.00357574550434947,0.649751603603363
31,-32434.520146166906,-0.008857188746333122,0.6492701768875122
32,-32390.06898975186,-0.010996251367032528,0.647504448890686
33,-32443.83906960115,-0.01028976310044527,0.6475244164466858
34,-32432.241876662243,-0.010824463330209255,0.6446028351783752
35,-32388.317642450333,-0.008968432433903217,0.6433753967285156
36,-32388.125799544156,-0.000235284460359253,0.6415314674377441
37,-32356.31314835511,0.00034612944000400603,0.6392549276351929
38,-32375.741525581107,-0.004651110153645277,0.6367851495742798
39,-32397.538886954542,-0.00868195854127407,0.6367279887199402
